07:46:18.899 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
07:46:18.963 [main] INFO  c.f.i.ServiceBcmBackendApplication - Starting ServiceBcmBackendApplication using Java 17.0.11 with PID 7298 (/home/kevin/project/bcm_project/service_bcm_backend/target/classes started by kevin in /home/kevin/project/bcm_project/service_bcm_backend)
07:46:18.964 [main] INFO  c.f.i.ServiceBcmBackendApplication - No active profile set, falling back to 1 default profile: "default"
07:46:20.713 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
07:46:20.805 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 85 ms. Found 7 JPA repository interfaces.
07:46:22.533 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
07:46:22.545 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
07:46:22.548 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
07:46:22.548 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
07:46:22.676 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
07:46:22.678 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3663 ms
07:46:22.966 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
07:46:23.556 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6b063470
07:46:23.557 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
07:46:23.593 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
07:46:23.697 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.7.Final
07:46:23.711 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
07:46:24.708 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
07:46:25.238 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
07:46:25.839 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
07:46:26.434 [main] INFO  o.h.m.i.EntityInstantiatorPojoStandard - HHH000182: No default (no-argument) constructor for class: com.fet.idtt.admin.model.ApiEvents (class must be instantiated by Interceptor)
07:46:26.616 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
07:46:26.617 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
07:46:27.032 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - JSqlParser is in classpath; If applicable, JSqlParser will be used
07:46:27.032 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
07:46:27.770 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
07:46:28.359 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@42bbd21c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@57f1fbae, org.springframework.security.web.context.SecurityContextHolderFilter@700596f9, org.springframework.security.web.header.HeaderWriterFilter@73796ae5, org.springframework.web.filter.CorsFilter@28901fe7, org.springframework.security.web.authentication.logout.LogoutFilter@702e21c, com.fet.idtt.admin.security.jwt.AuthTokenFilter@4d73d3d1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@33293b34, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@68a1bb31, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@289b7efe, org.springframework.security.web.session.SessionManagementFilter@2c4eda3a, org.springframework.security.web.access.ExceptionTranslationFilter@27563444, org.springframework.security.web.access.intercept.AuthorizationFilter@68ee7b3b]
07:46:28.680 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
07:46:28.702 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
07:46:28.748 [main] INFO  c.f.i.ServiceBcmBackendApplication - Started ServiceBcmBackendApplication in 10.4 seconds (process running for 17.518)
08:00:02.666 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
08:00:02.684 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
08:00:03.485 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
08:00:26.791 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
08:00:27.352 [main] INFO  c.f.i.ServiceBcmBackendApplication - Starting ServiceBcmBackendApplication using Java 17.0.11 with PID 8234 (/home/kevin/project/bcm_project/service_bcm_backend/target/classes started by kevin in /home/kevin/project/bcm_project/service_bcm_backend)
08:00:27.409 [main] INFO  c.f.i.ServiceBcmBackendApplication - No active profile set, falling back to 1 default profile: "default"
08:00:36.314 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
08:00:36.915 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 553 ms. Found 7 JPA repository interfaces.
08:00:41.297 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
08:00:41.493 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
08:00:41.517 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
08:00:41.517 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
08:00:42.548 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08:00:42.588 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 14747 ms
08:00:43.357 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
08:00:46.411 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3f048c86
08:00:46.430 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
08:00:46.673 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
08:00:46.793 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.7.Final
08:00:46.838 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
08:00:47.652 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
08:00:48.032 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
08:00:49.704 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
08:00:53.190 [main] INFO  o.h.m.i.EntityInstantiatorPojoStandard - HHH000182: No default (no-argument) constructor for class: com.fet.idtt.admin.model.ApiEvents (class must be instantiated by Interceptor)
08:00:53.912 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
08:00:53.926 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
08:00:55.305 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - JSqlParser is in classpath; If applicable, JSqlParser will be used
08:00:55.318 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
08:00:58.039 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
